"MATCH_SCORE","ID_1","NAME_1","HOSTNAME_1","NEIGHB_1","LATITUDE_1","LONGITUDE_1","ROOM_TYPE_1","ID_2","NAME_2","HOSTNAME_2","NEIGHB_2","LATITUDE_2","LONGITUDE_2","ROOM_TYPE_2"
"91","920626","Small but nice single room in Rome","Giulia","XIV Monte Mario","4,193,637","124,264","Private room","105153","Small but nice double room in Rome","Giulia","XIV Monte Mario","4,194,302","1,242,244","Private room"
"91","957703","Casa Cimabue Roma centro camera 3","Petra","II Parioli/Nomentano","4,192,178","124,709","Private room","427944","Casa Cimabue in the center of Rome.","Petra","II Parioli/Nomentano","4,192,033","1,247,268","Private room"
"91","796926","COLISEUM ROOMS, Huge room 10min Colosseum","Gianluca","I Centro Storico","4,188,794","1,250,821","Private room","392516","COLISEUM ROOMS, Bright room 10min Colosseum","Gianluca","I Centro Storico","4,188,812","1,250,686","Private room"
"91","957703","Casa Cimabue Roma centro camera 3","Petra","II Parioli/Nomentano","4,192,178","124,709","Private room","512967","Casa Cimabue in the center of Rome.","Petra","II Parioli/Nomentano","419,208","1,247,081","Private room"
"91","760134","Vatican B&B Rome Room Colonnato","Irina","XIII Aurelia","4,189,856","1,245,468","Private room","630815","Vatican B&B Rome Room ''Castello''","Irina","XIII Aurelia","4,189,783","1,245,355","Private room"
"91","760620","Rome Center Charming Vintage House","Giulia & Susanna","VII San Giovanni/Cinecittà","4,188,723","1,251,374","Private room","634305","Rome center Charming Vintage House","Giulia & Susanna","I Centro Storico","4,188,759","1,251,096","Private room"
"91","545918","A charming place in vatican zone-2","Simona","XIII Aurelia","4,189,761","1,245,717","Private room","603872","A charming place in vatican zone-1","Simona","XIII Aurelia","418,993","1,245,682","Private room"
"91","545918","A charming place in vatican zone-2","Simona","XIII Aurelia","4,189,761","1,245,717","Private room","603875","A charming place in vatican zone-3","Simona","XIII Aurelia","4,189,792","1,245,596","Private room"
"91","933336","B&B Vaticano/San Pietro Camera Tripla","Andrea","XIII Aurelia","4,190,084","1,244,566","Private room","874822","B&B Vaticano/San Pietro Camera Matrimoniale","Andrea","XIII Aurelia","4,190,052","1,244,447","Private room"
"91","981661","Apartment x 2 ""Opera Inn Suites""","Elisabetta","XIII Aurelia","4,189,894","1,245,237","Entire home/apt","763338","Apartment x 6 "" Opera Inn Suites ""","Elisabetta","XIII Aurelia","4,189,713","1,245,423","Entire home/apt"
